Type,Benefit per order,Sales per customer,Delivery Status,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Lname,Customer Segment,Market,Order Country,Order Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Quantity,Order Item Total,Order Profit Per Order,Order Region,Order Status,Product Name,Product Price,Shipping Mode
DEBIT,91.25,314.6400146,Advance shipping,Sporting Goods,Caguas,Puerto Rico,Cally,20755,Holloway,Consumer,Pacific Asia,Indonesia,77202,13.10999966,0.039999999,180517,1,314.6400146,91.25,Southeast Asia,COMPLETE,Smart watch ,327.75,Standard Class
TRANSFER,-249.0899963,311.3599854,Late delivery,Sporting Goods,Caguas,Puerto Rico,Irene,19492,Luna,Consumer,Pacific Asia,India,75939,16.38999939,0.050000001,179254,1,311.3599854,-249.0899963,South Asia,PENDING,Smart watch ,327.75,Standard Class
